,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
spect_entropy_ch_Fp1,5.917711,5.712707,6.002204,5.876839,5.827572,5.85498,6.049499,5.973365,5.622172,6.198819,6.143707,5.729699,6.236,6.045296,5.974937,6.083737,6.021548,5.954072,5.780391,5.832835,6.017313,6.054404,5.680163,5.952475,5.134988,6.046435,5.826226,5.948807,6.010477,5.878486,6.085508,5.386821,5.972394,5.15878,5.053712,5.829785,5.988063,6.021923,5.681465,5.535625,5.536074,6.013009,6.084723,5.929174,5.826173,5.960299,5.938467,5.336067,5.880557,5.728418,6.133412,5.052331,5.583469,6.102473,5.883077,6.06638,5.6552,5.863182,5.5149,5.808071,5.802633,6.040976,5.576517,5.734893,5.543527,5.980701,5.753613,5.009428,5.776575,5.464951,5.364581,5.767755,5.466351,6.224058,6.169263,5.316497,3.714813,5.310735,6.007007,5.926202,6.118761,5.742263,3.783789,5.900245,5.916186,5.953367,5.946651,3.447294,5.671878,5.834543,5.716477,5.523412,3.09871,4.257282,5.325635,3.694222,5.914926,5.947606,5.52024,5.878509,2.74503,5.486705,4.94107,6.008586,4.187719,2.40756,5.937327,5.939092,5.667539,5.486409,2.305489,4.096385,5.922018,5.722335,5.904807,5.621621,5.577262,6.006134,5.880676,5.616168,4.889165,5.690392,6.009629,5.810286,6.05589,3.504006,5.882678,5.956071,5.858321,5.881811,5.111126,5.842783,3.801056,5.991835,5.984079,5.420108,5.85745,5.94763,2.440362,5.858702
spect_entropy_ch_F3,5.72049,5.58901,5.287535,5.35098,5.657863,5.841341,5.660883,5.468963,4.838431,4.782489,5.438805,5.231504,5.276014,5.685773,5.694747,5.321789,5.176393,5.229917,5.212987,5.414953,5.774625,5.291373,5.356519,4.366694,5.381579,5.58149,5.433581,5.207873,4.842055,5.107164,5.408905,5.747067,5.578476,3.638642,5.457872,5.031764,5.630308,4.619409,4.418255,4.305277,5.440926,5.472578,5.380869,5.119196,5.077755,4.451556,5.317984,4.601122,4.413695,5.321097,5.280494,4.745857,4.369858,4.617609,5.436138,3.134032,4.549079,4.841316,4.769403,5.102625,5.202098,4.692846,5.353238,3.945255,5.149143,5.034786,5.024136,4.835667,5.216408,4.635131,5.010636,5.368701,4.796876,4.213711,5.214678,5.399333,4.363937,4.582788,5.08144,5.431839,4.901685,5.084783,3.693422,4.691689,4.735692,4.963777,5.039274,3.847248,4.865715,4.992289,5.094774,5.093802,3.061005,4.484154,5.01096,5.254429,5.308295,4.390251,5.067072,5.34157,3.679299,4.951266,4.719829,4.946004,4.20544,3.330272,4.861769,4.914818,4.442653,5.500803,3.405114,3.840481,5.280001,4.068842,5.301676,4.928245,5.116489,5.710741,4.280785,4.945156,3.548226,4.794441,5.150975,4.045973,4.681476,4.749572,5.105156,4.922521,5.387669,5.094829,5.08212,4.8551,4.411068,4.438065,5.119508,4.586969,5.422801,4.805843,4.606842,5.244483
spect_entropy_ch_F7,4.742571,4.466818,4.432438,5.463779,5.348715,4.984946,4.667161,4.430033,3.634643,4.829716,5.381818,4.484604,5.261891,3.351239,4.939069,3.200362,5.09111,5.276432,5.084403,5.023577,5.529259,5.522175,4.50561,5.338404,4.509048,4.975243,4.52473,5.663837,4.263282,5.4914,5.464945,4.417649,4.742176,3.970041,4.747307,4.293171,4.802662,5.030723,3.93284,5.063243,4.849038,3.744173,4.199144,5.024997,3.97767,4.884891,4.890622,4.274671,5.09649,4.269684,5.562921,4.330501,4.491866,4.216833,3.762923,4.765524,4.918858,3.70173,3.68736,3.169251,3.867846,4.960564,3.957776,3.731005,5.01922,5.084238,4.980745,4.161969,5.18133,5.546317,5.689106,4.362917,4.548326,5.449839,4.163018,5.182118,3.404278,4.024645,4.878876,5.613634,4.852652,5.677538,3.900581,4.67789,4.579279,4.507901,5.02434,3.116304,4.319308,5.169129,4.203376,4.801716,2.662864,3.205574,4.357583,5.039595,4.583597,5.494251,4.542814,4.895094,2.768932,5.455327,4.048418,5.404627,4.056074,2.396159,5.71883,5.368534,5.141998,4.174493,2.619564,2.785616,5.308912,5.707745,5.954419,5.608999,5.15044,5.174089,4.066584,5.789772,5.491098,4.938892,5.57298,5.860989,5.907478,3.169708,5.057692,5.623972,5.923648,5.291858,5.278998,5.721986,2.974041,3.858094,4.399079,5.77327,5.722424,5.18557,2.598101,5.23476
spect_entropy_ch_FT9,4.510728,4.336214,4.09213,4.59086,4.912895,3.596089,3.987945,3.265357,4.014627,4.710464,4.900445,3.973863,4.013134,3.444869,4.83714,3.403565,5.188992,4.620127,4.209124,4.675997,4.773168,5.38219,3.431284,4.966212,5.310749,4.469343,3.720346,5.122631,3.843317,4.868167,5.04925,4.201586,4.1395,4.87419,3.894319,4.084173,4.034101,4.213648,3.721455,4.720646,3.905503,3.342629,3.984124,4.288426,3.662549,4.06614,4.2839,3.620237,3.674957,3.698203,5.171328,3.867528,3.560089,3.987255,3.254053,3.645071,3.949934,3.55435,4.532911,3.493886,3.118367,4.268788,3.003288,3.586032,5.184718,3.721388,3.946184,3.482416,4.223041,5.180039,4.236199,3.796186,5.171083,4.475146,3.494748,4.729256,3.919721,3.189682,5.110955,3.988237,4.427805,4.575874,3.694527,4.032075,4.256498,4.753844,4.498898,4.011447,3.950423,4.607106,3.403021,4.158382,3.099293,3.733695,3.330893,3.752996,4.294467,4.6041,4.063021,4.167824,3.232394,4.775938,3.564656,4.830293,3.972714,3.040565,4.868142,4.466344,4.289404,2.478591,2.717899,2.062955,4.710092,4.190331,4.424996,4.280586,4.56817,4.851017,3.54587,4.944217,3.599296,3.57286,4.275769,4.435984,4.391122,2.812879,4.40903,4.926979,4.936159,4.891221,4.542531,4.838654,3.155765,3.811536,3.272738,4.932975,4.014946,4.333053,2.671333,4.222893
spect_entropy_ch_FC5,4.69651,5.060733,3.572252,4.743697,4.765596,3.811051,4.145693,4.327943,3.827001,3.973992,4.891272,4.333167,4.909246,4.190263,4.684755,3.636782,4.168632,4.259081,4.188857,4.671424,4.326853,4.575896,3.884274,4.415366,4.606595,4.612939,4.146526,5.061454,3.530541,4.875712,4.959511,3.948803,4.722485,3.319052,4.355668,3.987184,5.027375,3.512956,3.852535,4.718448,4.543929,4.45089,4.422587,4.959526,3.964686,4.296308,4.884531,3.949299,4.45932,4.863575,4.816462,4.352685,4.990476,4.353762,4.217347,3.372137,4.25708,4.024193,3.664806,4.49068,4.425537,4.477359,3.845063,3.719402,4.817194,4.728566,4.106591,3.944428,4.570739,5.02699,4.744035,4.254901,4.655314,4.100929,3.743597,4.831796,3.933166,4.054438,4.297532,4.809022,4.416377,4.90841,3.272473,5.094459,4.652769,4.438805,4.27275,3.267004,4.131876,4.789478,4.503389,4.775276,2.795917,3.97546,4.343813,3.889039,4.668634,4.585878,4.431776,4.55769,2.836572,4.577919,3.978047,4.066289,3.919199,2.502229,4.280301,4.369653,4.489856,3.964204,2.61823,4.312408,4.780306,4.396211,4.660632,4.586605,4.419835,4.327553,3.307019,4.711812,3.350023,3.802325,4.884119,3.877996,4.788035,3.576457,5.21285,3.997919,5.092747,4.160827,5.526016,4.989709,3.707076,3.772606,3.886176,4.753001,4.754246,4.548288,2.775689,4.320739
spect_entropy_ch_FC1,4.797835,5.02218,4.068306,4.323553,5.156193,4.971185,4.040329,4.975994,4.753746,3.157028,4.830029,4.561395,4.14691,5.051854,5.175065,4.455596,4.476781,3.998961,4.045516,4.513485,5.133832,4.869181,4.591285,4.329772,5.029521,4.87945,3.66765,3.581509,4.058796,4.320546,4.116028,5.003746,4.647974,4.342444,4.503535,4.100112,5.415202,4.183011,3.88099,3.645963,4.566415,3.043798,4.354401,3.970706,3.582446,4.507341,4.562352,3.736363,3.835361,4.616155,4.384235,3.901386,3.780996,4.316839,4.994126,3.306112,3.521517,4.51451,4.55241,4.082538,4.248659,4.20208,4.689274,3.935289,4.296485,4.751693,3.804874,4.407948,4.541075,4.753892,3.831178,4.904933,4.70639,3.815659,4.786827,3.843292,4.299624,4.023709,4.498714,4.460902,4.623069,4.476475,3.267634,3.888615,4.661844,4.683628,4.166554,3.828592,4.571753,4.452401,4.589842,3.831156,3.050194,4.850201,4.053302,4.26518,4.957861,3.41652,4.86005,4.622751,4.240246,4.468124,4.682478,4.974978,4.110843,3.706308,4.455943,4.710257,3.930465,3.796654,4.066351,3.575739,4.279519,3.063996,5.061917,4.594629,4.316555,5.171363,3.521573,4.284058,2.688769,3.818804,4.459088,3.641632,4.426282,4.097974,5.130576,5.040632,4.729273,5.026725,4.850796,4.610345,4.092597,4.227041,4.61109,4.537205,4.474167,3.908594,4.569541,4.665693
spect_entropy_ch_C3,5.223026,4.542515,5.385072,4.499678,4.711297,4.434861,3.698403,5.311499,4.474514,4.812283,5.205473,3.685609,4.27898,4.069715,5.060035,4.537141,3.522794,4.221498,4.433208,4.120582,4.90582,4.25682,5.33429,4.482703,4.705983,4.68162,3.67984,4.134324,4.046855,4.81371,5.13925,4.670526,4.744496,4.181651,4.872914,4.574275,3.503017,4.435186,4.539963,4.991476,3.477796,4.104424,4.183191,5.137547,4.338,4.808114,4.547238,3.581061,4.295066,4.526269,4.919611,4.268552,4.030301,4.45381,4.776803,3.21085,4.349227,4.605059,4.417159,4.246957,3.913856,4.221064,4.954685,4.621911,4.41069,4.918842,3.964592,4.239361,4.120064,5.05869,3.524474,4.338714,4.040519,4.532846,4.757234,4.72167,4.706993,4.478267,4.029475,4.316368,4.23052,4.570898,3.823411,4.442104,4.250755,4.536309,4.556061,3.915198,4.476699,4.493505,4.817586,4.515019,3.451351,4.736649,4.174518,4.296317,4.819846,4.194881,4.715581,4.275897,4.334392,4.689618,4.367962,3.952062,4.129606,3.772525,4.420762,4.705059,4.336761,4.103633,3.659383,3.603312,4.90398,4.375563,5.060056,4.964653,4.277726,4.455153,4.793888,4.810588,2.749773,4.803708,4.545401,3.475943,4.169027,4.399539,5.087591,4.878482,4.830216,4.738637,4.491821,4.585888,3.889782,4.623366,5.161668,4.586473,3.884235,4.171097,3.381072,3.748557
spect_entropy_ch_T7,4.619538,4.769334,4.639267,4.38411,3.971541,3.418405,4.374244,2.92851,3.873909,4.370572,4.888734,4.41974,3.940844,3.982523,4.464418,4.348381,3.968543,4.466555,3.487549,4.787369,2.811097,4.482633,4.58779,4.645155,4.82692,3.916876,4.358921,4.919885,3.756769,4.718472,4.356827,4.160736,4.573783,4.383216,4.464308,3.548528,3.659368,3.854255,3.872319,4.531119,4.565345,4.291831,4.364941,4.862392,4.006784,4.639388,4.662942,4.360948,3.808488,4.271136,5.022611,4.692953,4.232462,4.314608,4.299853,4.669397,4.171801,3.568984,4.130951,4.029958,3.56918,3.879172,3.741684,3.856885,4.248286,4.317115,3.583688,3.477434,4.617118,4.486787,4.802357,4.019592,5.004487,4.617072,4.520147,4.739455,4.019184,3.011952,4.324265,4.483479,3.984557,4.485795,4.142498,4.039464,3.953664,4.711367,4.676432,4.195609,3.963288,4.956657,3.577833,4.34181,3.491081,3.98266,3.788491,3.571691,4.252598,4.847542,4.500538,3.973614,3.404256,4.42928,3.584046,4.434165,4.827117,3.959398,5.571159,3.964091,4.270749,3.865532,3.34285,2.596891,4.22296,4.350234,4.210809,4.200103,4.233614,4.01576,3.706262,4.592064,3.447064,3.545672,4.591142,5.257337,4.988398,3.966027,4.667525,4.864636,4.929554,4.572421,4.887229,4.899297,4.754143,4.08453,3.675309,4.949088,5.146051,4.822483,3.960404,4.780598
spect_entropy_ch_TP9,5.103184,4.184247,5.045126,3.965281,4.371233,4.129003,4.402058,3.643662,4.693971,2.905174,3.946229,4.80981,3.790483,5.286825,4.468911,4.198084,5.179202,4.88697,4.493748,4.770064,2.28354,5.285664,4.975548,4.514262,5.087744,4.399327,3.890035,5.045166,4.99578,4.604168,5.41357,5.654879,4.800176,5.235764,4.97814,4.125246,4.258988,5.000517,4.667483,4.671695,5.087168,4.493779,5.119538,4.76661,4.747288,4.667926,4.999906,4.909899,4.321642,4.261113,5.041534,4.450968,4.522682,3.819542,4.738464,4.91659,2.199519,3.958613,4.306245,4.290518,4.170288,3.92333,4.412531,4.58504,5.259847,1.825569,4.828263,4.396665,4.931218,5.177559,4.201634,3.694206,5.704684,4.822518,5.221866,5.095661,4.191777,3.359428,5.568182,4.437642,3.742553,4.297117,5.05644,4.70145,4.119425,4.906375,4.937169,4.814707,5.308498,3.562006,4.255755,5.259793,4.124447,4.471816,3.648679,4.186256,3.973382,5.105176,4.687837,4.938772,4.26947,3.192343,5.257682,4.45245,5.084758,4.855995,3.903125,4.554621,5.045232,3.31302,3.284822,2.637263,4.549435,4.306072,4.980658,4.151128,3.617537,4.293363,3.859815,4.865318,5.016335,4.311683,4.357331,4.571575,4.488882,3.188897,5.191676,5.054714,3.165327,5.327706,4.738362,4.551605,4.19734,4.716229,4.37303,4.936968,4.785385,4.88184,4.279176,4.532949
spect_entropy_ch_CP5,4.600079,4.530191,5.124714,4.480634,3.649088,3.153895,4.204041,5.064248,4.691768,5.088013,4.311712,4.56598,4.283377,3.865583,4.539908,4.889485,4.999181,5.117573,4.729377,4.313898,4.177352,4.238359,4.892586,5.264548,4.462368,3.826098,5.153974,4.310498,4.709303,4.953189,4.491867,4.75093,4.735884,4.349641,4.720019,3.97669,3.837462,4.08251,4.143298,4.143936,3.356832,4.425864,5.055511,4.780164,4.274399,4.972939,4.361881,4.960986,3.835312,4.572663,5.033067,4.620363,4.325318,4.417627,4.547418,5.083424,5.289345,4.40943,4.640425,4.683375,4.167471,4.443366,4.697623,4.703172,4.314358,4.494844,3.976373,4.209023,4.37349,4.529914,4.361719,4.469769,4.42843,4.838794,4.625383,5.400386,4.702978,4.4884,3.960375,4.315932,4.222624,4.142212,4.379988,4.330548,3.637298,4.802659,4.893488,4.599426,4.43689,4.430268,4.500048,4.373475,4.515311,4.683098,4.199347,3.4467,4.473477,4.556544,4.632869,3.779984,4.576333,4.802065,4.302313,4.911238,4.34449,4.797998,5.336279,4.446377,4.292007,3.707852,2.945636,3.710921,4.415786,4.90547,4.263938,4.764373,4.315479,4.610341,4.500987,5.169078,3.487345,3.807912,4.25412,4.70375,4.743316,3.213985,4.622605,4.627671,4.563035,5.165502,4.623285,4.533968,4.708495,4.387921,4.551694,4.604188,5.171993,4.381616,4.161596,4.167687
