,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
power_ch_Fp1_freq_delta,0.060146,0.121867,0.211711,0.128032,0.222049,0.136668,0.095177,0.174946,0.297548,0.084959,0.133914,0.261937,0.100374,0.177043,0.173022,0.110013,0.08638,0.106199,0.190174,0.117648,0.157023,0.189695,0.195135,0.124328,0.275192,0.104275,0.11419,0.378213,0.339019,0.166072,0.347264,0.241584,0.178223,0.157416,0.396984,0.09931,0.285956,0.118816,0.102643,0.20314,0.305557,0.282851,0.085067,0.210731,0.136207,0.191181,0.09934,0.179116,0.151335,0.199703,0.12279,0.303382,0.160296,0.286808,0.130874,0.090846,0.376519,0.220316,0.241403,0.17767,0.180887,0.454562,0.3196,0.479018,0.1713,0.213226,0.333897,0.616652,0.417114,0.290817,0.360916,0.375802,0.422042,0.173039,0.477407,0.355602,0.542997,0.185443,0.329662,0.517208,0.450595,0.119326,0.494415,0.133355,0.106664,0.209273,0.223166,0.407496,0.21031,0.338361,0.236834,0.171859,0.484113,0.442392,0.155015,0.540081,0.170627,0.537536,0.369329,0.154894,0.522266,0.288492,0.386797,0.122335,0.54134,0.567735,0.594629,0.185263,0.468391,0.278988,0.551964,0.516298,0.135037,0.489214,0.314796,0.127913,0.580176,0.119101,0.126754,0.282255,0.491457,0.29529,0.231311,0.190485,0.433323,0.471892,0.327358,0.129526,0.122437,0.155137,0.192093,0.2426,0.512729,0.267021,0.131708,0.480456,0.5226,0.378027,0.534368,0.175494
power_ch_Fp1_freq_theta,0.068992,0.03839,0.058639,0.062385,0.043746,0.066019,0.048547,0.063391,0.036129,0.045182,0.03493,0.036189,0.044333,0.066875,0.06101,0.057288,0.04462,0.064314,0.056359,0.098005,0.040941,0.054216,0.086903,0.057123,0.048997,0.074842,0.081267,0.036417,0.052504,0.048525,0.037262,0.076557,0.073668,0.07276,0.039315,0.042483,0.028358,0.084086,0.090621,0.057792,0.041866,0.043113,0.073767,0.146566,0.084021,0.092003,0.145361,0.113312,0.067882,0.086346,0.085021,0.085892,0.182998,0.059497,0.057056,0.060573,0.049899,0.061499,0.048514,0.041465,0.054086,0.111601,0.054815,0.122457,0.059947,0.076505,0.043887,0.068655,0.107797,0.055027,0.031806,0.028743,0.036335,0.04883,0.090799,0.036962,0.067128,0.042302,0.055489,0.038876,0.103889,0.138642,0.083485,0.049032,0.053039,0.05902,0.055459,0.105228,0.047156,0.067136,0.086727,0.078449,0.068028,0.052435,0.041992,0.03852,0.056236,0.080932,0.067404,0.041175,0.063015,0.079584,0.061549,0.074791,0.089675,0.039633,0.040743,0.09725,0.080726,0.092751,0.035937,0.046674,0.0764,0.0818,0.132537,0.077863,0.061919,0.094015,0.038043,0.046844,0.024742,0.059388,0.091383,0.049175,0.030268,0.032186,0.03922,0.055537,0.062902,0.057664,0.071382,0.063721,0.049311,0.073125,0.052778,0.031047,0.064362,0.050842,0.025887,0.085193
power_ch_Fp1_freq_alpha,0.041351,0.037838,0.062775,0.041004,0.038211,0.070484,0.050194,0.039264,0.025327,0.065293,0.053905,0.041722,0.046044,0.051974,0.048134,0.050471,0.048022,0.059407,0.046435,0.101589,0.058962,0.052465,0.045745,0.028123,0.019845,0.048426,0.095573,0.034124,0.02119,0.079136,0.0222,0.043335,0.056533,0.051307,0.028297,0.084521,0.057217,0.094603,0.166099,0.058463,0.038809,0.044044,0.050077,0.069626,0.08089,0.070386,0.074981,0.055939,0.065504,0.034012,0.078808,0.070825,0.098999,0.073022,0.027743,0.060624,0.028857,0.068527,0.04714,0.047146,0.03548,0.049138,0.07794,0.04621,0.048472,0.059767,0.046735,0.009715,0.047105,0.03215,0.022472,0.03317,0.017219,0.047316,0.033056,0.037327,0.028364,0.09318,0.037088,0.034449,0.039097,0.073706,0.036343,0.070127,0.059232,0.059831,0.101419,0.035246,0.035425,0.026406,0.066963,0.083209,0.030718,0.023546,0.039008,0.020314,0.056934,0.035725,0.043024,0.059543,0.024216,0.056591,0.023043,0.06982,0.024037,0.011899,0.008846,0.060625,0.049183,0.035539,0.017015,0.025924,0.047986,0.026945,0.033666,0.08199,0.016836,0.0618,0.04153,0.043817,0.01385,0.029699,0.04603,0.052657,0.029903,0.026133,0.0478,0.077539,0.090368,0.087901,0.07301,0.061275,0.038174,0.055861,0.064691,0.020843,0.026634,0.028659,0.009592,0.065773
power_ch_Fp1_freq_beta,0.251386,0.296186,0.228595,0.225041,0.222662,0.228154,0.263172,0.235117,0.140974,0.279485,0.200316,0.215127,0.237282,0.245731,0.192964,0.226029,0.291332,0.260727,0.21203,0.216517,0.197201,0.203973,0.210865,0.196701,0.130492,0.224489,0.207611,0.101783,0.13079,0.225119,0.109656,0.159351,0.204933,0.20086,0.085495,0.216685,0.138059,0.156441,0.241564,0.158479,0.154847,0.129563,0.224501,0.201129,0.209304,0.200746,0.262735,0.188617,0.243177,0.199533,0.224998,0.111716,0.202299,0.13521,0.234908,0.263796,0.099854,0.182085,0.193666,0.231281,0.186633,0.083884,0.104012,0.076204,0.265364,0.172721,0.118894,0.021817,0.115515,0.138657,0.104794,0.119064,0.088806,0.198587,0.102623,0.113335,0.04775,0.221956,0.153777,0.080263,0.089022,0.18731,0.08512,0.210795,0.248516,0.217455,0.182047,0.151039,0.165039,0.131423,0.167068,0.21529,0.096823,0.10094,0.237185,0.038406,0.20577,0.062383,0.123399,0.225719,0.056772,0.174272,0.133234,0.308246,0.065327,0.032074,0.038042,0.211562,0.093387,0.127583,0.041323,0.071744,0.281271,0.079427,0.160152,0.216891,0.066652,0.253366,0.266391,0.156143,0.063064,0.139758,0.137982,0.201582,0.08831,0.102796,0.106211,0.24484,0.232911,0.195793,0.226522,0.121427,0.053362,0.17603,0.230139,0.082824,0.086795,0.115477,0.051253,0.188587
power_ch_Fp1_freq_lower_gamma,0.140222,0.142269,0.106396,0.216837,0.131877,0.181412,0.174924,0.156692,0.112709,0.19922,0.164735,0.097032,0.163059,0.129067,0.146106,0.167713,0.167162,0.160209,0.145074,0.173357,0.115459,0.129667,0.093507,0.14318,0.119524,0.145059,0.181327,0.087282,0.074925,0.140272,0.114173,0.127751,0.1432,0.134433,0.059807,0.147469,0.082517,0.185148,0.11483,0.120955,0.069384,0.119771,0.153409,0.133839,0.15551,0.118847,0.155693,0.150999,0.109343,0.116782,0.118874,0.098934,0.118158,0.101314,0.224084,0.194411,0.083107,0.091139,0.15889,0.115988,0.161761,0.040654,0.089459,0.060013,0.111067,0.10398,0.073371,0.019109,0.059652,0.087153,0.107673,0.06549,0.04154,0.143036,0.069344,0.077596,0.038603,0.150283,0.103019,0.051144,0.066591,0.160255,0.028818,0.15328,0.193112,0.132974,0.111055,0.071389,0.155538,0.079602,0.110315,0.158026,0.046266,0.06401,0.128431,0.032176,0.175452,0.035864,0.092566,0.131792,0.058447,0.109312,0.093815,0.140012,0.038782,0.021506,0.026667,0.125562,0.062115,0.141496,0.027096,0.03997,0.154695,0.077315,0.090308,0.165306,0.050403,0.131718,0.132751,0.132798,0.039599,0.121028,0.105017,0.115848,0.059296,0.072162,0.103661,0.15225,0.091345,0.154385,0.135511,0.118567,0.048521,0.090905,0.14224,0.052746,0.046868,0.113248,0.034432,0.190894
power_ch_Fp1_freq_upper_gamma,0.307019,0.20688,0.171041,0.186162,0.147824,0.16863,0.250539,0.177555,0.138864,0.229671,0.233857,0.1186,0.271542,0.172788,0.215154,0.245155,0.231209,0.232134,0.169505,0.193373,0.238776,0.223813,0.225524,0.256865,0.183397,0.256845,0.196008,0.098657,0.11965,0.192827,0.10198,0.180399,0.204427,0.222864,0.089575,0.251903,0.158431,0.257401,0.204018,0.197265,0.139088,0.140225,0.271748,0.167551,0.198667,0.164242,0.168595,0.209205,0.239102,0.179388,0.227164,0.123067,0.173598,0.124083,0.200111,0.226758,0.115187,0.19789,0.102382,0.211663,0.192648,0.071178,0.105986,0.091252,0.194885,0.204494,0.132711,0.03421,0.084621,0.161536,0.100576,0.102536,0.079423,0.230481,0.115241,0.104625,0.059873,0.191504,0.105687,0.068346,0.08045,0.211657,0.062574,0.231259,0.187386,0.200231,0.175011,0.083998,0.18508,0.132472,0.167748,0.23388,0.063166,0.078792,0.239974,0.047794,0.195343,0.051541,0.106827,0.197597,0.053272,0.118009,0.117767,0.186044,0.069,0.034832,0.041777,0.202745,0.077673,0.161115,0.029966,0.054275,0.161768,0.089405,0.171057,0.185541,0.061876,0.226798,0.252592,0.129763,0.052726,0.180514,0.194195,0.212018,0.094734,0.086639,0.125398,0.201238,0.255849,0.204254,0.193244,0.172776,0.049047,0.140985,0.239434,0.088338,0.055246,0.158611,0.04748,0.190842
power_ch_F3_freq_delta,0.15329,0.170031,0.343573,0.203972,0.129287,0.161561,0.148946,0.165371,0.184986,0.23317,0.339924,0.212151,0.278129,0.326032,0.159788,0.135531,0.195576,0.300676,0.216876,0.214537,0.193343,0.176096,0.296724,0.325827,0.285773,0.333388,0.273562,0.240546,0.21827,0.31542,0.266039,0.146315,0.225399,0.414873,0.258739,0.259221,0.188839,0.399598,0.148059,0.291561,0.184035,0.386258,0.171343,0.170027,0.126612,0.163747,0.240175,0.391482,0.235924,0.209854,0.202754,0.304356,0.242896,0.355856,0.270764,0.446999,0.336878,0.318885,0.265344,0.160123,0.323302,0.327139,0.32741,0.454158,0.344783,0.259101,0.304347,0.508342,0.267109,0.350396,0.237983,0.237507,0.377487,0.184601,0.330448,0.310697,0.360637,0.326575,0.326388,0.449867,0.320247,0.281874,0.379248,0.297279,0.237499,0.453305,0.23915,0.379297,0.352284,0.280951,0.253316,0.242869,0.467625,0.344849,0.34014,0.42949,0.331547,0.519525,0.292007,0.244729,0.358535,0.189262,0.312042,0.210687,0.418935,0.45262,0.459298,0.251196,0.374748,0.218962,0.413785,0.434239,0.1738,0.432752,0.369588,0.167412,0.441735,0.391853,0.28105,0.15368,0.500516,0.257464,0.258582,0.297768,0.314195,0.358223,0.310426,0.281972,0.177498,0.212462,0.131144,0.172623,0.278838,0.208099,0.158731,0.25392,0.339335,0.430405,0.364466,0.14476
power_ch_F3_freq_theta,0.111931,0.133258,0.125863,0.1063,0.145696,0.11924,0.140687,0.110008,0.136571,0.175946,0.080616,0.075804,0.136587,0.094343,0.144981,0.228085,0.13706,0.064989,0.135393,0.118684,0.076308,0.128294,0.086878,0.103296,0.06486,0.084682,0.13168,0.174715,0.232408,0.09633,0.17082,0.181832,0.176984,0.087781,0.12494,0.156935,0.15028,0.064352,0.294998,0.111425,0.225474,0.075226,0.21542,0.257629,0.346419,0.371554,0.161721,0.208547,0.302714,0.163483,0.290066,0.129588,0.2831,0.222088,0.107175,0.080334,0.162808,0.101473,0.182304,0.163262,0.103112,0.141075,0.115273,0.162389,0.118529,0.125439,0.213272,0.076484,0.158201,0.099597,0.167468,0.112069,0.08857,0.261476,0.166897,0.074886,0.189693,0.162067,0.187521,0.09199,0.245803,0.095195,0.166386,0.168547,0.273315,0.128474,0.171578,0.092673,0.107631,0.306175,0.170181,0.175934,0.096536,0.129188,0.161311,0.15526,0.073883,0.077902,0.16285,0.130511,0.148369,0.123753,0.130792,0.14763,0.143459,0.18156,0.0981,0.113653,0.064101,0.188907,0.069203,0.100269,0.168133,0.074426,0.206293,0.160317,0.081969,0.064768,0.254829,0.154465,0.064411,0.092434,0.136978,0.126129,0.118875,0.106797,0.121949,0.144667,0.140983,0.133823,0.164462,0.23748,0.289012,0.334762,0.231344,0.117792,0.099819,0.134569,0.09311,0.176486
power_ch_F3_freq_alpha,0.109781,0.132755,0.088028,0.092951,0.103191,0.067711,0.072656,0.141619,0.101247,0.09835,0.064363,0.06064,0.049375,0.062003,0.090191,0.157102,0.063067,0.045167,0.056721,0.137173,0.067275,0.125329,0.081612,0.080188,0.053428,0.058863,0.076904,0.127755,0.107941,0.123481,0.127906,0.137158,0.109936,0.04433,0.145351,0.138703,0.106251,0.059441,0.207115,0.093809,0.211934,0.076095,0.163411,0.112882,0.18092,0.128488,0.127786,0.090953,0.107353,0.102153,0.090851,0.151439,0.136552,0.081839,0.103311,0.04886,0.078975,0.105956,0.081312,0.086273,0.115679,0.137922,0.074011,0.062965,0.106576,0.10373,0.107304,0.037591,0.127324,0.087321,0.152882,0.117698,0.0665,0.096026,0.144519,0.092633,0.145019,0.060423,0.11753,0.065167,0.139263,0.116749,0.055471,0.13972,0.092807,0.05374,0.176277,0.123957,0.095179,0.115502,0.152217,0.126053,0.046106,0.091952,0.120215,0.079862,0.093143,0.050506,0.121898,0.154201,0.110756,0.232692,0.097798,0.097663,0.093521,0.071744,0.073496,0.104154,0.128689,0.131536,0.0886,0.057741,0.156398,0.084991,0.075693,0.117257,0.05423,0.093171,0.078465,0.135655,0.04896,0.115053,0.106269,0.113064,0.110112,0.069841,0.112341,0.066477,0.116624,0.130549,0.229714,0.121228,0.148565,0.16464,0.113556,0.096612,0.112002,0.053741,0.070531,0.181659
power_ch_F3_freq_beta,0.266251,0.233217,0.161361,0.316033,0.300848,0.310864,0.279153,0.285477,0.329635,0.22106,0.166043,0.308243,0.232662,0.225437,0.29363,0.220384,0.307374,0.272929,0.23651,0.244939,0.322461,0.247092,0.225012,0.13432,0.218067,0.203126,0.20255,0.264928,0.160869,0.194196,0.151648,0.26471,0.233042,0.090531,0.267639,0.178966,0.227076,0.121737,0.196958,0.178551,0.196991,0.145178,0.277152,0.243549,0.20345,0.216188,0.230404,0.14377,0.184371,0.290691,0.218232,0.194011,0.17606,0.084885,0.278392,0.099024,0.217721,0.229751,0.239362,0.282959,0.192126,0.201496,0.247797,0.144988,0.181863,0.280367,0.142074,0.076021,0.278991,0.203255,0.233203,0.30264,0.150868,0.256401,0.181921,0.204374,0.148304,0.225979,0.112529,0.152814,0.156532,0.27122,0.186362,0.132733,0.228773,0.110669,0.223911,0.164574,0.206203,0.159135,0.210288,0.258402,0.200809,0.149844,0.275376,0.130926,0.263125,0.084716,0.255556,0.244574,0.220222,0.249277,0.222163,0.363121,0.109308,0.099848,0.128027,0.368145,0.150957,0.235453,0.181669,0.135113,0.320655,0.146391,0.198263,0.342989,0.126019,0.111906,0.19525,0.317459,0.069924,0.27879,0.224102,0.21989,0.207168,0.18282,0.189648,0.280248,0.35718,0.264283,0.355592,0.269955,0.168576,0.187267,0.276487,0.308981,0.215883,0.131891,0.165537,0.320557
