,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
bankssts-lh_delta,13.079083,11.519555,21.395262,7.277403,8.371169,15.649317,8.545746,3.838865,15.719711,12.193431,11.076378,9.395394,4.887343,15.321278,6.44596,5.804967,4.312868,3.792086,6.545044,11.448296,15.43926,10.456771,12.866189,3.964219,5.169323,22.975779,8.480729,13.40134,8.391897,28.860545,4.631903,4.485749,9.531793,30.260656,15.846157,3.710828,11.870055,12.133295,8.373091,5.579016,17.820602,11.581704,5.444837,32.937322,30.25823,25.47322,10.634148,22.475618,18.799416,15.571859,17.095574,31.141458,22.810416,29.018195,11.717206,9.551575,18.989764,30.043966,21.367609,4.687453,17.166357,31.143831,7.65961,21.296487,11.15745,23.774703,18.817757,3.027289,12.955695,6.727992,13.176863,13.622369,5.684988,9.611644,12.761816,11.106574,29.144452,14.168402,6.991546,35.0056,12.246101,4.658077,21.700637,11.520587,5.50772,12.812448,12.462681,15.721706,5.53004,11.525905,2.360875,9.876612,15.86683,2.933666,26.809492,14.570885,11.50099,11.522467,10.315312,19.063884,13.033231,13.482871,22.623608,11.164548,14.212215,35.412845,15.246193,16.024363,8.136068,39.889231,30.414011,15.867807,7.500178,24.457192,7.458219,7.861014,20.317663,20.357409,8.514947,19.04031,31.961629,15.034715,15.213189,23.67375,28.26259,9.033847,17.690261,12.423888,16.894242,16.572052,13.617963,3.382519,17.26561,12.879008,6.434614,10.942574,10.429403,21.374007,9.308842,14.731544
bankssts-rh_delta,10.78715,7.864196,5.203425,13.350033,21.570521,16.927425,26.736837,10.725417,11.613007,12.718485,8.810896,4.942983,11.70595,14.009457,11.950925,15.454934,7.006509,33.381682,10.417353,70.067612,10.403643,31.477186,28.150126,9.877219,35.540199,24.052739,30.550511,19.262645,4.923439,4.945563,20.870354,28.427506,42.105276,24.779804,13.607473,30.837877,12.792225,26.300887,15.748171,9.585779,15.27297,38.859727,5.457686,11.190721,4.173559,27.612946,26.798347,14.665842,28.991911,23.158298,17.950041,39.453816,21.677325,3.138545,8.761996,9.79763,10.234137,29.360321,22.312302,13.879696,23.072022,53.205681,18.335538,53.389387,49.039251,5.12267,41.401786,40.817524,39.776945,15.630051,31.027756,21.654665,4.53335,57.860999,29.051797,9.984001,45.157421,19.031142,11.079335,4.589957,5.66367,38.240418,37.384971,22.013221,14.625641,34.868857,14.052473,29.953196,16.398092,26.778965,6.165429,17.386917,13.759875,15.302272,19.02597,28.812813,15.873147,11.507321,34.822019,5.260233,15.270228,89.880644,55.684636,4.193281,17.229896,24.896272,16.954313,14.808376,20.437244,37.22063,19.924769,17.953386,4.297274,38.032396,4.027069,5.401838,9.990901,11.741918,13.308874,26.002019,87.28331,11.917969,35.638842,21.568949,18.712088,24.155838,16.736419,3.322465,35.71964,5.762935,16.857231,6.226336,3.448272,11.640488,10.51869,17.122043,21.353275,26.398051,13.883737,23.371464
caudalanteriorcingulate-lh_delta,25.865241,40.936441,45.835536,106.800457,67.664719,49.664732,67.537621,29.92075,64.647712,12.827192,10.476857,36.188858,17.497036,19.879615,56.663776,27.660817,34.098697,30.220341,44.385622,110.343515,3.228332,14.775473,90.631701,21.50257,47.457577,21.50354,92.534954,27.026674,19.014283,43.005356,28.234154,112.083097,47.906143,77.288931,27.395381,75.069647,10.456181,77.93029,94.232386,19.702068,29.356053,67.533033,66.276255,51.006387,52.873003,18.971251,34.602906,74.921222,55.846458,34.285123,63.955625,64.198776,25.264267,31.052401,17.455417,52.115489,104.117002,84.658255,36.530137,33.985951,27.896333,95.321505,54.578112,58.745698,43.994749,33.869214,65.394527,105.691335,121.779527,41.778765,18.67594,13.051138,30.590156,18.359328,37.003606,29.013577,153.162913,94.683588,24.011029,29.000813,81.095682,88.009638,128.068803,23.461219,54.906918,23.190618,39.085111,50.489984,18.148251,41.613587,63.43527,144.522883,182.602667,63.582379,82.834749,116.280848,36.363543,50.423649,60.764745,16.800992,111.696396,107.396887,54.732761,16.842781,43.743767,146.058903,271.651287,20.08478,116.743932,45.660586,137.3074,103.910613,52.313929,216.488858,21.227481,58.042541,159.710284,17.07482,101.02224,32.6376,176.953547,27.898434,67.790781,76.194417,29.078748,113.537604,24.173162,42.820377,18.985267,51.862002,44.869265,29.64884,53.985719,65.446676,43.739084,34.525282,305.561263,60.68878,208.015165,89.604608
caudalanteriorcingulate-rh_delta,28.370691,25.40607,36.902376,89.842339,43.957931,32.643962,21.599541,14.980438,19.228659,10.409846,13.838824,41.770456,15.627765,22.344783,50.053161,9.064455,33.842454,31.005946,28.977573,46.7505,10.924215,20.608692,61.036208,27.296239,24.199608,17.959835,46.825154,30.974267,33.225365,56.65126,18.614751,66.717535,50.682301,54.847588,13.496762,72.58846,15.195058,59.443761,88.825888,15.92123,42.087694,76.32126,37.996059,23.166576,29.090647,30.992897,28.884989,69.655396,67.094191,35.95128,37.561735,74.34644,17.904041,17.32335,9.934073,69.001385,101.931016,66.05105,66.36585,38.888185,28.700728,92.405374,18.674071,71.740339,73.915517,31.863472,34.335584,49.648676,53.96591,43.504771,27.17282,10.037075,31.35099,24.389073,14.545588,29.394892,42.204824,87.993775,8.608135,25.747889,58.250604,117.674752,113.698122,26.719841,59.694074,29.777112,23.781498,76.79193,33.565124,56.790034,35.280505,91.971989,159.550683,20.800495,68.845877,56.685801,16.310152,78.680196,70.282739,25.456,101.353525,73.570769,14.154437,10.980018,20.543219,79.98653,69.97518,26.814774,33.645151,13.620136,64.76622,91.129019,28.770278,70.945299,7.841569,28.569642,34.042147,6.249908,75.944084,21.386193,264.377183,45.941306,44.40841,153.64417,67.893663,30.731909,30.495237,31.787892,16.570283,43.514377,55.3816,23.188405,32.601269,62.100906,32.441543,49.355485,42.399576,132.215629,16.713563,52.171725
caudalmiddlefrontal-lh_delta,0.888295,1.115472,1.639424,5.942425,3.557906,2.995003,1.779269,5.611852,3.561818,3.54525,1.359982,0.606219,1.291452,1.031953,2.657762,3.542367,3.101579,1.399937,0.604471,2.593806,1.994763,1.294528,3.812392,1.640723,7.380097,1.672593,3.079583,2.882647,0.492997,2.437053,2.52784,3.53127,6.192742,2.983946,3.019037,0.972548,1.053786,1.499313,5.232716,7.085261,4.748453,1.496402,4.986589,5.033216,3.243805,0.849693,2.208007,2.664173,1.943188,2.223787,3.653018,2.30246,4.599074,2.529624,2.142987,2.076129,2.131487,2.128723,2.413747,1.940568,2.092211,2.114687,3.798006,2.186409,1.319796,5.165788,1.25078,3.703479,1.23596,3.368444,2.557695,1.081401,2.139836,2.269854,4.707855,1.583293,2.949441,2.66815,3.983361,0.883739,2.540388,2.536185,2.308669,1.703117,1.932298,1.577717,1.708817,2.466128,0.977145,0.88821,2.00387,5.00111,2.470396,3.645125,2.446305,4.969288,3.585702,2.121695,5.565539,1.497494,2.595788,2.100338,2.584105,2.980018,1.214267,4.497734,3.923203,0.652419,2.113476,1.992365,0.431791,2.057595,4.747378,1.399998,1.46763,2.608531,5.375178,3.522086,3.252157,3.218794,8.465112,4.110793,5.577821,1.26526,5.258601,1.136407,0.919793,2.070241,2.470745,3.103901,1.996465,2.240736,4.427574,0.983165,2.099939,1.160578,2.1452,4.930746,12.260863,11.007853
caudalmiddlefrontal-rh_delta,0.742397,1.083108,0.911421,3.247535,1.774032,0.853797,3.150853,1.397949,1.04423,0.542136,0.784279,0.943837,0.743614,1.533857,1.519729,1.730669,2.617848,2.522156,0.666609,2.965954,1.090161,1.442972,1.627604,1.245432,0.58592,0.85734,1.289941,1.195435,0.96113,1.571884,0.8886,4.70065,1.949004,0.813262,1.582472,1.916358,2.444921,0.899286,0.8937,0.689339,2.10802,1.205857,7.148809,0.604565,3.154772,2.70135,0.687255,4.071746,0.425181,1.59372,2.044877,0.460291,1.19811,0.443827,0.911304,1.89417,1.034854,0.656285,1.804354,2.255939,0.78707,2.020734,4.803516,1.086187,0.893441,1.413052,0.908673,1.577358,1.776629,1.855609,1.797326,1.415714,1.509462,1.512315,1.165538,0.579463,9.026815,0.754667,2.964452,1.35747,1.580258,0.62307,3.294685,1.539215,2.764881,1.911481,10.229034,3.057548,0.288908,1.505903,1.567441,1.656595,2.244717,0.993899,1.742337,2.380281,2.030868,1.5522,1.740606,11.152017,3.889205,5.853194,1.447858,0.84881,0.440617,3.763569,3.453927,1.675821,0.869541,1.948944,1.369569,1.418897,1.493592,2.528959,1.754503,1.928019,1.043857,1.625,1.851451,1.181809,4.092886,3.176261,1.73575,0.672494,0.283207,1.081919,1.241436,0.879561,1.05644,1.00551,1.316599,1.102905,1.709524,2.554391,1.536558,1.036143,0.919725,4.999751,1.620923,5.609911
cuneus-lh_delta,3.120862,4.709556,12.683885,8.531977,11.542639,15.474055,8.075403,7.859791,15.365229,11.042912,5.555377,6.707655,2.965924,4.010546,5.296798,5.40582,4.509092,10.327634,4.307963,28.8788,19.136684,15.434926,13.48617,11.079285,10.170155,3.619564,15.936328,1.15975,5.859673,10.407273,3.440605,7.952154,14.934701,23.523509,1.962526,4.713973,13.714391,6.552539,7.42249,11.94326,9.223378,14.282255,3.883313,10.221592,7.018949,9.643602,4.639119,54.650638,6.939893,20.800122,4.377637,11.716398,17.778076,7.757478,11.146942,6.973986,11.020374,11.554114,5.785837,10.540841,4.385399,145.571652,9.108939,9.313045,17.091705,12.465292,6.811386,108.050941,331.319628,4.194948,11.756181,3.663172,2.636129,14.883328,5.156146,3.51768,183.703519,9.319098,2.438899,16.063664,16.672277,10.080149,283.11442,3.592302,2.105347,9.040599,1.750815,111.81482,4.383495,28.389525,3.451731,6.964185,178.306137,57.879739,13.212626,28.470973,2.294579,83.039996,19.617579,3.40874,324.161141,41.557269,106.245442,8.385076,29.622971,241.898172,456.795435,5.892024,89.842249,15.504097,307.065719,46.366718,12.639524,182.146847,3.078924,10.056027,111.229705,6.514344,4.789072,6.760972,173.156341,5.623357,12.857275,12.943498,18.113182,89.527332,9.754025,7.039479,3.337893,3.848514,19.524631,6.395857,24.045023,4.061511,3.099317,11.099843,216.602394,44.884487,292.673697,25.54518
cuneus-rh_delta,6.134443,3.809272,14.313471,8.815498,15.894222,16.57539,11.073251,7.898457,7.689952,10.736062,8.81354,4.368863,2.985777,5.401328,5.049947,4.282559,5.259569,9.078388,5.342837,20.293474,21.036038,18.096679,6.009888,10.78323,10.563544,2.648951,7.054661,1.298383,1.839246,7.683835,4.898193,4.50658,6.82472,10.323719,5.202718,5.886633,12.009425,6.578216,4.504131,20.249257,5.510935,12.600927,3.815761,3.465006,7.737007,11.749062,3.35484,13.800598,12.217357,9.661388,3.563885,6.463643,17.493153,4.247534,12.641488,11.499132,7.551037,7.329551,9.389337,16.985296,3.87425,13.911797,11.015623,5.789518,2.092511,14.052145,7.131938,24.711776,36.189464,4.917637,9.794729,8.198053,1.870504,19.42021,6.798158,2.115565,6.725128,8.081005,2.126011,13.672034,5.50223,3.410158,23.033306,5.225105,3.568789,5.068838,2.411655,26.614964,5.334572,2.758064,4.705891,8.394098,4.30829,4.535501,12.593194,18.801157,2.85226,5.298532,18.536263,5.315991,9.500769,16.698591,18.665394,9.183006,9.627645,19.40683,18.269778,6.876707,14.199717,6.881058,33.095677,9.657709,11.381503,11.90905,3.113111,5.662143,20.856053,3.916716,6.683229,6.153094,59.368585,4.437887,9.573567,10.618801,4.097892,19.092547,6.862556,2.968608,3.519238,4.01729,15.989992,5.930044,7.356108,2.854691,1.509826,12.06417,6.771882,2.621384,21.387604,19.455127
entorhinal-lh_delta,23.765391,33.358685,4.896763,34.945624,7.919736,17.098407,23.498712,9.504957,9.279253,9.054194,14.869492,15.805724,12.834541,10.096976,17.653199,26.055373,15.806227,15.52127,14.327315,11.219255,9.343481,11.668309,19.108131,6.750002,7.157687,36.997069,43.785138,7.699628,6.818801,11.406493,4.736405,19.344675,17.491394,27.451703,34.725381,14.656439,48.316364,6.440526,11.958303,4.539549,25.602696,13.102507,13.73583,13.763831,31.75194,25.744646,28.778269,36.436605,27.426807,4.031358,21.289772,25.96867,5.267628,28.348418,21.78427,21.137884,48.239963,40.120109,14.579311,11.205675,21.049283,100.889298,5.847024,4.891734,15.859481,52.888344,23.804128,10.940881,41.685474,10.889192,27.405636,10.239219,6.662638,30.357936,14.755153,7.847701,48.655771,17.320735,11.659059,16.111835,41.004282,35.923122,102.656483,7.8884,3.282106,22.303137,8.763946,25.235218,14.950047,16.038237,27.340473,7.044629,65.723196,15.254883,102.128766,26.062483,15.587047,20.276698,21.954381,8.14977,45.1909,19.538932,12.198914,16.751787,22.888084,54.447555,45.775181,22.581989,31.25628,40.288375,80.220389,22.731204,4.162208,22.85151,14.870366,13.874507,23.581888,11.410989,20.01782,21.155003,36.474735,34.626258,23.335196,8.857607,55.788302,19.270554,19.778416,29.955027,23.126767,6.610398,43.78671,6.72457,43.097782,12.317771,12.512323,7.823134,16.789955,61.538268,27.180928,24.635981
entorhinal-rh_delta,32.588836,22.637068,11.047997,25.040754,22.70731,16.04676,28.712786,16.050748,26.616113,14.2228,20.101728,16.326139,25.720301,9.874726,28.196695,33.7865,40.460926,17.112517,16.902012,9.316354,6.999805,17.484764,29.843558,31.852483,10.187966,11.849506,28.642166,7.41425,6.907157,18.080264,14.214417,27.238088,29.251934,11.955241,34.645074,13.186329,10.206684,17.744673,9.703343,10.095131,11.504439,8.037999,29.668401,11.157061,19.626029,24.065883,21.249695,19.702672,18.955068,8.476345,9.191749,28.597945,4.657275,15.718108,7.195498,40.444909,13.64736,16.292258,7.965059,9.955659,30.82927,52.712073,6.636197,25.828143,30.300526,33.357017,19.343709,23.418247,45.366384,12.474839,31.598877,13.509229,8.383032,38.76178,15.191333,11.23157,14.262058,15.246954,22.568035,4.656503,25.620546,42.201085,70.107148,11.665956,3.80436,13.094803,4.926266,23.870682,26.266178,15.07338,27.086743,31.418687,32.085429,7.461022,64.868053,32.088659,19.083265,18.690285,20.512355,15.885033,8.36767,27.818681,34.549938,13.145356,22.823523,16.798741,26.013784,4.424266,25.720034,61.079499,11.518062,27.803169,22.415408,42.634868,3.826044,16.162844,23.875701,14.413278,18.474113,22.4755,31.191069,39.269357,23.467582,9.760378,33.5943,28.961276,8.67201,4.521411,6.557981,7.591132,31.010772,12.275781,28.34681,12.900911,4.663124,7.358499,17.134459,34.950235,19.891742,45.566186
